mass_A
t,x,y
9.192988875E0,-6.823596703E0,2.293725800E0
9.202369562E0,-6.817903697E0,2.291242678E0
9.211750249E0,-6.756628291E0,2.284306466E0
9.221130936E0,-6.651313757E0,2.284478521E0
9.230511623E0,-6.643298659E0,2.287447535E0
9.239892310E0,-6.642285892E0,2.287472941E0
9.249272997E0,-6.641861680E0,2.287036193E0
9.258653684E0,-6.637685380E0,2.285984586E0
9.268034371E0,-6.624851122E0,2.288692859E0
9.277415058E0,-6.609375760E0,2.292421003E0
9.286795745E0,-6.602671097E0,2.292874488E0
9.296176432E0,-6.589961002E0,2.292564101E0
9.305557119E0,-6.577089773E0,2.292205798E0
9.314937806E0,-6.568838020E0,2.292683959E0
9.324318493E0,-6.555322446E0,2.293601682E0
9.333699180E0,-6.542779313E0,2.295376667E0
9.343079867E0,-6.530616121E0,2.293985315E0
9.352460554E0,-6.514910299E0,2.289422308E0
9.361841241E0,-6.501570571E0,2.284942661E0
9.371221928E0,-6.493186094E0,2.283782226E0
9.380602615E0,-6.481867380E0,2.287409408E0
9.389983302E0,-6.468755042E0,2.290747480E0
9.399363989E0,-6.456307062E0,2.293214424E0
9.408744676E0,-6.433188921E0,2.295060015E0
9.418125364E0,-6.403894990E0,2.297600129E0
9.427506051E0,-6.390239707E0,2.295756780E0
9.436886738E0,-6.373204449E0,2.288965073E0
9.446267425E0,-6.358565826E0,2.285137826E0
9.455648112E0,-6.347625082E0,2.284359395E0
9.465028799E0,-6.333369947E0,2.284886883E0
9.474409486E0,-6.317501109E0,2.290889326E0
9.483790173E0,-6.307688714E0,2.292163616E0
9.493170860E0,-6.297041652E0,2.288513164E0
9.502551547E0,-6.284910343E0,2.285511389E0
9.511932234E0,-6.274714023E0,2.285490568E0
9.521312921E0,-6.263394931E0,2.289803231E0
9.530693608E0,-6.250200931E0,2.296659308E0
9.540074295E0,-6.243197405E0,2.299166776E0
9.549454982E0,-6.241953001E0,2.299578804E0
9.558835669E0,-6.241604863E0,2.299706835E0
9.568216356E0,-6.236779752E0,2.297658183E0
9.577597043E0,-6.206105645E0,2.293856468E0
9.586977730E0,-6.176056848E0,2.294106595E0
9.596358417E0,-6.163303056E0,2.293338125E0
9.605739104E0,-6.149835476E0,2.286346099E0
9.615119791E0,-6.137184314E0,2.283231297E0
9.624500478E0,-6.129215231E0,2.283545827E0
9.633881165E0,-6.117210893E0,2.287702767E0
9.643261852E0,-6.105103791E0,2.292875680E0
9.652642540E0,-6.101420904E0,2.295467854E0
9.662023227E0,-6.101508283E0,2.295697635E0
9.671403914E0,-6.101445309E0,2.295647221E0
9.680784601E0,-6.093540893E0,2.291690565E0
9.690165288E0,-6.050749915E0,2.283035057E0
9.699545975E0,-5.991006478E0,2.282826796E0
9.708926662E0,-5.979227632E0,2.286315356E0
9.718307349E0,-5.969755519E0,2.290587061E0
9.727688036E0,-5.961013990E0,2.294787825E0
9.737068723E0,-5.954908715E0,2.295012519E0
9.746449410E0,-5.953941118E0,2.295337029E0
9.755830097E0,-5.953494063E0,2.296200380E0
9.765210784E0,-5.953155909E0,2.296392066E0
9.774591471E0,-5.953068639E0,2.296529874E0
9.783972158E0,-5.952888593E0,2.296409318E0
9.793352845E0,-5.947141909E0,2.294264617E0
9.802733532E0,-5.901292968E0,2.282009451E0
9.812114219E0,-5.844540531E0,2.276535903E0
9.821494906E0,-5.828812871E0,2.278554100E0
9.830875593E0,-5.801095589E0,2.281108497E0
9.840256280E0,-5.770502893E0,2.284548387E0
9.849636967E0,-5.758129608E0,2.285303407E0
9.859017654E0,-5.742137103E0,2.281907232E0
9.868398341E0,-5.729836052E0,2.281153451E0
9.877779029E0,-5.719332345E0,2.280523608E0
9.887159716E0,-5.706471461E0,2.280380568E0
9.896540403E0,-5.693207932E0,2.279491342E0
9.905921090E0,-5.685197127E0,2.279845892E0
9.915301777E0,-5.672611999E0,2.282101717E0
9.924682464E0,-5.658892668E0,2.285110429E0
9.934063151E0,-5.647869237E0,2.286017743E0
9.943443838E0,-5.638234072E0,2.286517914E0
9.952824525E0,-5.626185787E0,2.287156724E0
9.962205212E0,-5.614137902E0,2.283936602E0
9.971585899E0,-5.597887601E0,2.278112283E0
9.980966586E0,-5.583274685E0,2.275125026E0
9.990347273E0,-5.572908061E0,2.275914502E0
9.999727960E0,-5.559171493E0,2.279063493E0
1.000910865E1,-5.546883537E0,2.281314941E0
1.001848933E1,-5.537185572E0,2.283450962E0
1.002787002E1,-5.524921348E0,2.284119250E0
1.003725071E1,-5.515969842E0,2.283353350E0
1.004663140E1,-5.506168801E0,2.282928896E0
1.005601208E1,-5.492257077E0,2.282721755E0
1.006539277E1,-5.477028706E0,2.284257927E0
1.007477346E1,-5.464441976E0,2.281955934E0
1.008415414E1,-5.448772679E0,2.277484828E0
1.009353483E1,-5.433880612E0,2.274434249E0
1.010291552E1,-5.423742614E0,2.274930548E0
